Name.1,Year,Date,Ratings,Dugan Ratings,Review,Liked
American Gigolo,1980,06/03/2025,3.5,7.0,Last Act of this movie loses steam so quick for so much good setup. Also you see Richard’s Gere shift,
Amsterdam,2022,11/01/2023,1.0,2.0,,
Amélie,2001,05/03/2025,4.0,8.0,Gonna double feature this with Kiki delivery service for the most wholesome 4 hours of my life,Yes
Animal Kingdom,2010,08/04/2025,3.5,7.0,Double feature this with Superman if you want to lose all hope in humanity immediately,
Anna and the Apocalypse,2017,12/17/2024,2.5,5.0,,
Annie Hall,1977,06/20/2023,2.0,4.0,,
Anora,2024,02/28/2025,4.5,9.0,The house “fight” scene is my pick for scene of the year,Yes
Ant-Man,2015,04/27/2021,2.5,5.0,,
Ant-Man and the Wasp,2018,,,,,
Aquaman,2018,,,,,
Arcadian,2024,01/27/2025,1.5,3.0,I need to get a hand on that nondescript medicine to solve all my problems,
Arrival,2016,04/27/2021,4.5,9.0,,Yes
Arthur Christmas,2011,,,,,
Astro Boy,2009,,,,,
Atlantis: The Lost Empire,2001,,,,,
Attack the Block,2011,06/20/2023,2.0,4.0,,
Avatar,2009,,,,,
Avengers: Age of Ultron,2015,04/27/2021,3.5,7.0,,
Avengers: Endgame,2019,04/27/2021,5.0,10.0,,
Avengers: Infinity War,2018,04/27/2021,5.0,10.0,,Yes
Awakenings,1990,,,,,
Baby Driver,2017,04/27/2021,5.0,10.0,,Yes
Babylon,2022,,,,,
Bachelor Party,1984,,,,,
Bad Education,2019,,,,,
Bad Santa,2003,12/05/2025,3.0,6.0,I just know grandma can fix up a delicious sandwich,
Ballad of a Small Player,2025,01/23/2026,1.0,2.0,"May be the worst script I’ve seen since Amsterdam (2022) and I do not say that lightly. Farrell, Swinton, and Berger tried to make the most out of what was given to them, but sprinkles on a turd do not help",
Bambi,1942,,,,,
Barbie,2023,07/25/2023,3.0,6.0,,
Barnyard,2006,,,,,
Batman,1989,,,,,
Batman & Robin,1997,,,,,
Batman Begins,2005,,,,,
Batman Forever,1995,,,,,
Batman Returns,1992,,,,,
Batman v Superman: Dawn of Justice,2016,,,,,
Batman: Assault on Arkham,2014,,,,,
Batman: Mask of the Phantasm,1993,06/23/2025,3.5,7.0,Batman but he’s a sad boi,Yes
"Batman: The Dark Knight Returns, Part 1",2012,,,,,
"Batman: The Dark Knight Returns, Part 2",2013,,,,,
Batman: The Killing Joke,2016,,,,,
Beast of War,2025,01/21/2026,2.0,4.0,According to this movie “based on real events” Japanese soldiers care more about Sake than any other survival equipment,
Beauty and the Beast,2017,,,,,
Beauty and the Beast,1991,,,,,
Beavis and Butt-Head Do America,1996,05/02/2025,3.5,7.0,One day I’ll like my job as much as that lady likes doing cavity searches,Yes
Bee Movie,2007,,,,,
Beetlejuice,1988,,,,,
Belfast,2021,06/20/2023,3.5,7.0,,
Beneath the Planet of the Apes,1970,,,,,
Between the Temples,2024,01/28/2025,2.5,5.0,This is two movies: the dinner scene and then everything else,
Big,1988,,,,,
Big Daddy,1999,,,,,
Big Hero 6,2014,,,,,
Billy Elliot,2000,,,,,
Billy Madison,1995,,,,,
Bird on a Wire,1990,,,,,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,04/27/2021,1.5,3.0,,
Black Bag,2025,12/29/2025,2.5,5.0,"My brain hurts, this is the biggest headache from a movie since Brick. Very cool watch though, wish I cared about their marriage a bit more",
Black Mirror: Be Right Back,2013,,,,,
Black Mirror: Metalhead,2017,,,,,
Black Mirror: Nosedive,2016,,,,,
Black Mirror: Playtest,2016,,,,,
Black Mirror: Shut Up and Dance,2016,,,,,
Black Mirror: The Entire History of You,2011,,,,,
Black Mirror: USS Callister,2017,,,,,
Black Mirror: White Bear,2013,,,,,
Black Mirror: White Christmas,2014,,,,,
Black Panther,2018,04/27/2021,2.0,4.0,,
Black Widow,2021,08/04/2021,3.0,6.0,,
BlackBerry,2023,01/14/2024,4.5,9.0,,Yes
Blackenstein,1973,,,,,
Blades of Glory,2007,,,,,
Blazing Saddles,1974,,,,,
Blood & Gold,2023,07/07/2023,4.0,8.0,,Yes
Blow Out,1981,,,,,
Blue Moon,2025,01/14/2026,2.0,4.0,"This is the opposite of my kind of movie. If I wanted to see a play, I would go see a play",
Blue Ruin,2013,04/30/2025,3.0,6.0,Ben killing Ted is the biggest act of friendship ever made in a movie,
Bo Burnham: Inside,2021,08/06/2021,4.5,9.0,,Yes
Bo Burnham: The Inside Outtakes,2022,05/14/2025,4.0,8.0,Is it sad I would watch a 5 hour cut of Inside?,Yes
Bob Trevino Likes It,2024,01/29/2026,4.0,8.0,"Hands down underrated score of the year, idk who this composer is but he’s got cozy tunes. Also can’t wait to see what Barbie Ferreira does next, what a performance",Yes
Bohemian Rhapsody,2018,04/27/2021,2.5,5.0,,
Bolt,2008,,,,,
Bone Tomahawk,2015,03/07/2025,4.0,8.0,They might be troglodytes but that was a impressively clean cut in half,Yes
Booksmart,2019,04/27/2021,4.0,8.0,,Yes
Borat Subsequent Moviefilm,2020,,,,,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,,,,,
Bowfinger,1999,,,,,
Boxcar Bertha,1972,07/29/2025,1.5,3.0,Scorsese kissing Barbara Hershey for his cameo in this is some Tarantino type move,
Boy Kills World,2023,09/16/2024,2.5,5.0,Every movie should have a camera kill,
Boyhood,2014,,,,,
Braindead,1992,10/25/2025,3.0,6.0,"Turns the quality on its head in the second half, from 2 stars to 4 stars once the animal energizers show up. Didn’t know gore could be so creative",
Bram Stoker's Dracula,1992,10/22/2025,2.5,5.0,Idk if Van Helsing is that good of a role or if Anthony Hopkins and Willem Dafoe are just that good,
Brave,2012,,,,,
Brick,2005,,,,,
Bright,2017,,,,,
Brooklyn,2015,,,,,
Brother Bear,2003,,,,,
Brothers,2024,,,,,
Bruce Almighty,2003,,,,,
Bubba Ho-tep,2002,,,,,
Bugonia,2025,01/08/2026,3.0,6.0,"Feel like I would’ve gotten more from this if I didn’t watch what it was based off beforehand, the big will it, won’t it ending is less impactful when you know what’s gonna happen. Made very well though",
Bullet Train,2022,05/16/2024,3.5,7.0,,
Burn After Reading,2008,02/11/2024,3.0,6.0,,
But I'm a Cheerleader,1999,06/28/2025,3.5,7.0,"Hit or miss comedy, but cared way more about Megan and Graham’s relationship than I thought I would’ve",Yes
Buzz Lightyear of Star Command: The Adventure Begins,2000,,,,,
CODA,2021,06/20/2023,4.0,8.0,,Yes
Caddyshack,1980,,,,,
Captain America: Brave New World,2025,02/17/2025,2.0,4.0,“You stopped my plan so I’m turning myself in”.. put him with the other awful mcu villains,
Captain America: Civil War,2016,04/27/2021,4.0,8.0,,Yes
Captain America: The First Avenger,2011,04/27/2021,2.5,5.0,,
Captain America: The Winter Soldier,2014,04/27/2021,5.0,10.0,,Yes
Captain Phillips,2013,,,,,
Cars,2006,08/08/2025,3.0,6.0,Cars be driving vroom vroom,
Cars 2,2011,,,,,
Cars 3,2017,,,,,
Cast Away,2000,06/20/2023,3.0,6.0,,
Castle in the Sky,1986,08/05/2025,3.5,7.0,"10/10 score, they cooked for 2 hours straight in the studio",
Cats & Dogs,2001,,,,,
Cha Cha Real Smooth,2022,06/04/2025,4.5,9.0,Somebody recommend a bad white boy coming of age movie cause goddamn they can’t keep getting away with it,Yes
Chainsaw Man – The Movie: Reze Arc,2025,10/25/2025,4.0,8.0,,Yes
Champions,2023,06/12/2023,2.0,4.0,,
Charlie and the Chocolate Factory,2005,,,,,
Chicken Little,2005,,,,,
Chicken Run,2000,,,,,
Chiefsaholic: A Wolf in Chiefs Clothing,2024,02/18/2025,3.0,6.0,Very interesting story.. too bad I hate everyone that appears in this,
Children Shouldn't Play with Dead Things,1972,10/23/2025,1.0,2.0,"Description says “Soon the dead are walking about”. Letterboxd is confused, this happens 55 minutes in of an 87 minute movie",
Children of Men,2006,,,,,
Chinatown,1974,10/01/2025,4.0,8.0,"A HISTORIC DAY, I GUESSED THE REVEAL OF A DETECTIVE MOVIE💃 (updated counter of 2 for 300 on this)",Yes
Chip 'n Dale: Rescue Rangers,2022,06/20/2023,2.5,5.0,,
Christmas with the Kranks,2004,,,,,
Chronicle,2012,,,,,
Cinderella,2015,,,,,
Cinderella,1950,,,,,
Citizen Kane,1941,,,,,
City Slickers,1991,07/27/2023,2.5,5.0,,
City of God,2002,07/19/2025,4.0,8.0,"Benny so goated not only did I not care he stole the main character’s girl, Rocket didn’t either",Yes
Cloudy with a Chance of Meatballs,2009,,,,,
Cloudy with a Chance of Meatballs 2,2013,,,,,
Clue,1985,,,,,
Clueless,1995,03/26/2025,4.0,8.0,Donald Faison doesn’t have a line in this that misses.. also the most confusing case of incest or not in cinema,Yes
Coco,2017,04/27/2021,4.0,8.0,,Yes
Collateral,2004,02/28/2025,4.0,8.0,Audioslave jumpscare… twice???,Yes
Come and See,1985,05/08/2025,3.0,6.0,"They must’ve hired an 80 year old to play him at the end, that cannot be the same guy",
Companion,2025,01/15/2026,3.5,7.0,"Goddamn that “go to sleep” reveal would’ve been so sick if I didn’t know going in. So fun though, even if it’s giving all Kat’s a bad name",Yes
Conan the Barbarian,1982,03/05/2025,3.0,6.0,The Northman if it had more camel being punched,
Conclave,2024,02/24/2025,4.0,8.0,Kinda hope every pope picking is this petty,Yes
Cooties,2014,,,,,
Coraline,2009,,,,,
Cowboys & Aliens,2011,,,,,
"Crazy, Stupid, Love.",2011,09/28/2023,4.0,8.0,,Yes
Creed,2015,,,,,
Curious George,2006,,,,,
Daddy Day Care,2003,,,,,
Daisies,1966,01/09/2026,0.5,1.0,There’s nothing here *cue John travolta looking around in pulp fiction,
Daredevil,2003,,,,,
Date Movie,2006,03/02/2025,1.0,2.0,An hour and a half ytp,Yes
Dawn of the Planet of the Apes,2014,,,,,
Day Shift,2022,11/01/2023,0.5,1.0,,
Dazed and Confused,1993,01/16/2026,3.5,7.0,"Didn’t hit as hard as Everybody Wants Some, maybe cause this wasn’t high school for me at all. 
But I do love seeing douche Ben Affleck, it just comes so natural to him for some reason",Yes
Dead Poets Society,1989,04/27/2021,3.0,6.0,,
Deadly Weapons,1974,,,,,
Deadpool,2016,04/27/2021,3.5,7.0,,
Deadpool & Wolverine,2024,08/20/2024,3.5,7.0,,
Deadpool 2,2018,04/27/2021,3.0,6.0,,
Death Race 2000,1975,,,,,
Death of a Unicorn,2025,10/16/2025,1.5,3.0,"Paul Rudd’s character is the worst “flawed” dad in a movie since Chicken Little. However, somehow the biggest sin is how you get NoHo Hank in your movie and waste him",
Deepwater Horizon,2016,,,,,
Despicable Me,2010,,,,,
Despicable Me 2,2013,,,,,
Devil,2010,,,,,
Die Hard,1988,,,,,
Dinosaur,2000,,,,,
Django Unchained,2012,04/27/2021,3.5,7.0,,
Do the Right Thing,1989,,,,,
Doctor Strange,2016,04/27/2021,3.5,7.0,,
Doctor Strange in the Multiverse of Madness,2022,06/20/2023,3.0,6.0,,
DodgeBall: A True Underdog Story,2004,08/22/2025,3.5,7.0,Any movie that Ben Stiller is playing the straight man is an injustice,Yes
Dog Day Afternoon,1975,07/22/2025,3.5,7.0,"Mannnn this Al Pacino guy is good, hope to see him in more stuff",
Dolemite Is My Name,2019,,,,,
Don't Look Up,2021,06/20/2023,3.0,6.0,,
Don't Look in the Basement,1973,10/29/2025,1.0,2.0,Eyes were feeling real heavy after only 15 minutes. Also this movie hates people with disabilities so that sucks,
Don't Worry Darling,2022,12/01/2025,3.0,6.0,He CHOSE to be British?? Honestly that alone is the scariest thing in the entire movie,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,07/20/2025,3.0,6.0,All cause a general had weird sex,
Dracula vs. Frankenstein,1971,06/20/2023,0.5,1.0,,
Drive,2011,06/20/2023,3.5,7.0,,
Drive-Away Dolls,2024,02/27/2024,3.0,6.0,They should make a Sukie and Curlie spin-off buddy cop movie.,
Duck Soup,1933,10/06/2025,3.0,6.0,The “Dugan only watches ancient movies” propaganda gonna love this one,
Dumb and Dumber,1994,,,,,
Dumb and Dumber To,2014,,,,,
Dumbo,1941,,,,,
Dune,2021,06/20/2023,2.0,4.0,,
Dune: Part Two,2024,03/04/2024,4.5,9.0,,Yes
Dungeons & Dragons: Honor Among Thieves,2023,01/01/2024,4.0,8.0,,Yes
Dunkirk,2017,04/27/2021,3.0,6.0,,
E.T. the Extra-Terrestrial,1982,,,,,
Easy A,2010,,,,,
Edge of Tomorrow,2014,,,,,
Edward Scissorhands,1990,11/18/2025,3.0,6.0,"Everyone look up Anthony Michael Hall on IMDB right now, proof of perfect casting right there. Something mischievous in those eyes",
Election,1999,,,,,
Elemental,2023,07/02/2025,2.5,5.0,,
Elf,2003,,,,,
Elio,2025,01/25/2026,3.0,6.0,"A pretty dull watch apart from Glordon and Elio’s friendship, reminded me of the best parts of Luca",
Ella Enchanted,2004,,,,,
Elvis,2022,,,,,
Emilia Pérez,2024,01/31/2025,2.5,5.0,Would go up an entire star if someone edited out every music number,
Encanto,2021,06/20/2023,3.0,6.0,,
Ender's Game,2013,,,,,
Epic,2013,,,,,
Eternal Sunshine of the Spotless Mind,2004,04/27/2021,3.0,6.0,,
Eurovision Song Contest: The Story of Fire Saga,2020,07/27/2023,1.0,2.0,,
Evan Almighty,2007,,,,,
Everybody Wants Some!!,2016,12/29/2025,4.0,8.0,"Simply a good time, can’t wait to watch again sometime in May. Could be a little funnier or more time with Jake and Beverly, but worth a watch",Yes
Everything Everywhere All at Once,2022,,,,,
F1,2025,07/02/2025,4.5,9.0,Kosinski could make a Zamboni race look cool as shit,Yes
Face/Off,1997,08/01/2025,4.0,8.0,"An absolute tragedy the casting Oscar wasn’t a thing in 1997, it peaked",Yes
Fantastic Four,2015,,,,,
Fantastic Four,2005,,,,,
Fantastic Four: Rise of the Silver Surfer,2007,,,,,
Fantastic Mr. Fox,2009,04/27/2021,3.5,7.0,,
Fargo,1996,,,,,
Fast & Furious Presents: Hobbs & Shaw,2019,,,,,
Fast Five,2011,,,,,
Fast Times at Ridgemont High,1982,06/20/2023,3.0,6.0,,
Fences,2016,,,,,
Fight Club,1999,04/27/2021,3.0,6.0,,
Finding Dory,2016,,,,,
Finding Nemo,2003,,,,,
Five Corners,1987,08/03/2025,1.0,2.0,"Absolute shit-show of storytelling, characters have a combined 10 IQ",
Five Nights at Freddy's,2023,11/01/2023,1.5,3.0,,
Flesh Gordon,1974,,,,,
Flora and Son,2023,07/23/2025,3.0,6.0,Very charming but surprisingly just meh music compared to Carney’s other movies,
Flow,2024,04/12/2025,3.0,6.0,"The calmest movie I’ve ever seen, also would kill anyone that looks funny at capybara",
Forbidden World,1982,,,,,
Forrest Gump,1994,04/27/2021,4.5,9.0,,Yes
Four Christmases,2008,12/15/2025,3.0,6.0,I strive to be as good at taboo as Jon Favreau,
Fractured,2019,,,,,
Frankenstein,2025,01/06/2026,3.0,6.0,"Maybe 3.5? Idk yet. Very good performances, but it just didn’t connect with me. Also the rumors of it sweeping the technical Oscar’s is insane to me",
Frankenweenie,2012,,,,,
Frankie Freako,2024,07/15/2025,0.5,1.0,My dad is banned from picking movies for awhile,
Freaks,1932,,,,,
Freaky Friday,2003,,,,,
Freaky Tales,2024,01/22/2026,3.0,6.0,Tom Hanks cameo is so peak🥹,
Free Guy,2021,05/16/2024,3.0,6.0,,
Friends: The Reunion,2021,,,,,
Fritz the Cat,1972,04/10/2025,3.5,7.0,"Can’t believe this had something interesting to say about radical ideology, too bad it’s padded out with long sex scenes inbetween",Yes
Frogs,1972,,,,,
From Dusk Till Dawn,1996,08/23/2025,1.5,3.0,You’re telling me nobody else could’ve played that part?? Tarantino a freak,
From Up on Poppy Hill,2011,08/13/2025,4.0,8.0,The kind of gorgeous animation that makes me avoid live action for a week,Yes
Frozen,2013,,,,,
Frozen II,2019,,,,,
Full Metal Jacket,1987,08/20/2024,3.5,7.0,"First half, 9 or 9.5 out of 10.. too bad that second half is like a 5 and makes it feel like a 3 hour movie.",
Funny Pages,2022,,,,,
Furiosa: A Mad Max Saga,2024,06/01/2024,3.5,7.0,,
G-Force,2009,,,,,
G.I. Joe: The Rise of Cobra,2009,,,,,
Game Night,2018,,,,,
"Game Over, Man!",2018,,,,,
Gerald's Game,2017,,,,,
Get Hard,2015,,,,,
Get Out,2017,04/27/2021,4.5,9.0,,Yes
Ghostbusters,1984,,,,,
Gladiator,2000,,,,,
Glass,2019,,,,,
Glass Onion,2022,,,,,
Gnomeo & Juliet,2011,,,,,
Go,1999,06/30/2025,3.0,6.0,If Gregg Araki made Pulp Fiction,Yes
God Help the Girl,2014,09/25/2025,2.5,5.0,"I cannot stand James, a twink that can’t sing or act, thank god he gets nothing. Give these songs a better set of characters please",
Godzilla vs. Kong,2021,06/20/2023,3.5,7.0,,Yes
Gone Girl,2014,04/27/2021,3.5,7.0,,
"Good Morning, Vietnam",1987,,,,,
Good Will Hunting,1997,04/27/2021,5.0,10.0,,Yes
GoodFellas,1990,04/27/2021,4.5,9.0,,Yes
Grandma Got Run Over by a Reindeer,2000,,,,,
Grave of the Fireflies,1988,,,,,
Gravity,2013,,,,,
Grease,1978,,,,,
Greedy People,2024,03/12/2025,3.5,7.0,"Joseph Gordon Levitt should play more villains?? 
Also this drops all the comedy second half like it’s Mulan coming across the burned village",Yes
Green Lantern,2011,,,,,
Green Room,2015,,,,,
Gremlins,1984,12/08/2025,3.5,7.0,I’d give up bacon and games for Gizmo,
Grown Ups,2010,,,,,
Grown Ups 2,2013,,,,,
Guardians of the Galaxy,2014,04/27/2021,4.0,8.0,,Yes
Guardians of the Galaxy Vol. 2,2017,04/27/2021,3.5,7.0,,
Guardians of the Galaxy Vol. 3,2023,06/20/2023,4.0,8.0,,Yes
Guillermo del Toro's Pinocchio,2022,06/12/2023,2.0,4.0,,
Guns Akimbo,2019,07/27/2023,1.5,3.0,,
"Hail, Caesar!",2016,,,,,
Halloween,1978,10/28/2025,3.5,7.0,"Music is banging, caught myself head bobbing during multiple kill scenes. Also that shot where he comes out of the door shadow, chef kiss",
Halloweentown,1998,10/30/2025,2.5,5.0,"There was not a single monster looking excited to join the mayor’s evil plan, how’d this guy get elected?",
Hamnet,2025,01/29/2026,3.0,6.0,Some beautiful moments but it didn’t hit me like I thought it was going to. Jessie Buckley does deserve to be sweeping though,
Hanna,2011,,,,,
Happy Feet,2006,,,,,
Happy Feet Two,2011,,,,,
Happy Gilmore,1996,,,,,
Happy Gilmore 2,2025,07/29/2025,2.5,5.0,John Daly saving a nostalgia bait cameo fest,
Harry Potter 20th Anniversary: Return to Hogwarts,2022,,,,,
Harry Potter and the Chamber of Secrets,2002,,,,,
Harry Potter and the Deathly Hallows: Part 1,2010,,,,,
Harry Potter and the Deathly Hallows: Part 2,2011,,,,,
Harry Potter and the Goblet of Fire,2005,01/26/2026,4.0,8.0,Technically HP 1-4 was on today in the background but watched this one all the way through. Would recommend if there’s another blizzard,Yes
Harry Potter and the Half-Blood Prince,2009,,,,,
Harry Potter and the Order of the Phoenix,2007,,,,,
Harry Potter and the Philosopher's Stone,2001,,,,,
Harry Potter and the Prisoner of Azkaban,2004,,,,,
Hawkeye,2021,,,,,
Heat,1995,08/27/2025,4.5,9.0,"#1000

This milestone had to be celebrated with one I’ve been putting off for years. Pairing Pacino and De Niro with this story is enough for a great movie, but the script and characters make this stand with some of the other 2.5+ hour epics. 

How can you not love da movies",Yes
Heathers,1989,07/27/2023,1.0,2.0,,
Hell or High Water,2016,06/20/2023,3.5,7.0,,Yes
Herbie Fully Loaded,2005,,,,,
Hercules,1997,,,,,
Hereditary,2018,05/16/2024,4.0,8.0,,Yes
High Fidelity,2000,06/20/2023,2.5,5.0,,
History of the World: Part I,1981,06/20/2023,2.0,4.0,,
Hit Man,2023,08/20/2024,4.0,8.0,It might being super predictable but the dialog is fantastic so. If I can’t have both I’ll definitely choose this alternative.,Yes
Hobo with a Shotgun,2011,,,,,
Hocus Pocus,1993,10/30/2025,4.0,8.0,"I am so sorry Bette Midler, I was not familiar with your game",Yes
Home,2015,,,,,
Home Alone,1990,04/27/2021,3.5,7.0,,
Home Alone 2: Lost in New York,1992,,,,,
Home on the Range,2004,,,,,
Honey Boy,2019,01/19/2025,4.0,8.0,,Yes
Hoodwinked!,2005,09/07/2025,2.5,5.0,Granny would beat up Lorax grandmom so badly,
Hook,1991,,,,,
Hoosiers,1986,,,,,
Hoot,2006,,,,,
Horton Hears a Who!,2008,,,,,
Hot Rod,2007,,,,,
Hot Tub Time Machine,2010,01/31/2024,3.5,7.0,,
Hotel Transylvania,2012,,,,,
Hotel Transylvania 2,2015,11/01/2023,2.5,5.0,,
How the Grinch Stole Christmas,2000,12/22/2025,4.0,8.0,"I can’t think of a movie that has been carried harder by a performance, Jim Carrey is 1 of 1",Yes
How to Train Your Dragon,2025,07/05/2025,3.0,6.0,"This is 30 minutes longer than the original?? Where though, da credits?",
How to Train Your Dragon,2010,07/05/2025,3.0,6.0,"This is 30 minutes longer than the original?? Where though, da credits?",
How to Train Your Dragon 2,2014,,,,,
Howl's Moving Castle,2004,03/20/2024,3.5,7.0,Justice for Scarecrow,
Hugo,2011,,,,,
Hundreds of Beavers,2022,02/22/2025,4.0,8.0,Charlie Chaplin wishes he could’ve made this,Yes
Hunt for the Wilderpeople,2016,07/27/2023,3.5,7.0,,Yes
Hustle,2022,06/20/2023,4.0,8.0,,Yes
I Am Legend,2007,,,,,
I Care a Lot,2020,,,,,
I Don't Feel at Home in This World Anymore,2017,,,,,
I Lost My Body,2019,,,,,
I Married a Witch,1942,08/12/2025,2.5,5.0,,
I Now Pronounce You Chuck & Larry,2007,,,,,
I'm Still Here,2024,02/25/2025,4.0,8.0,But.. but they’re so happy in the beginning,Yes
Ice Age,2002,,,,,
Ice Age: Continental Drift,2012,,,,,
Ice Age: Dawn of the Dinosaurs,2009,,,,,
Ice Age: The Meltdown,2006,,,,,
Ichi the Killer,2001,04/06/2025,1.5,3.0,I’m convinced they designed characters’ costumes first and then made the story somehow fit.,
Idiocracy,2006,,,,,
If I Had Legs I'd Kick You,2025,01/23/2026,4.0,8.0,"Can’t wait to watch Hamnet cause Rose is supposed to lose to Jessie Buckley?👀 What a bad movie for my blood pressure, can’t wait to never watch again",Yes
Ilsa: Harem Keeper of the Oil Sheiks,1976,,,,,Yes
Imagine That,2009,,,,,
In Bruges,2008,06/20/2023,2.5,5.0,,
In Time,2011,07/11/2025,2.5,5.0,The 1v1 “fight” scene with the minutemen is so dumb and funny,
Inception,2010,,,,,
Incredibles 2,2018,04/27/2021,2.5,5.0,,
Independence Day,1996,,,,,
Independence Day: Resurgence,2016,,,,,
Indiana Jones and the Dial of Destiny,2023,07/15/2023,3.0,6.0,,
Inglourious Basterds,2009,04/27/2021,5.0,10.0,,Yes
Inside Moves,1980,05/27/2025,2.5,5.0,Why everybody touching each other in this? You can say a line without grabbing their shoulder,
Inside Out,2015,04/27/2021,4.0,8.0,,Yes
Inside Out 2,2024,06/16/2024,4.5,9.0,,Yes
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,04/08/2025,4.0,8.0,"Oh no, not a volcano!! *funky beat drop*",Yes
Interstellar,2014,05/23/2024,4.5,9.0,Oh no I’m basic,Yes
Into the Wild,2007,07/27/2023,4.0,8.0,,Yes
Into the Woods,2014,,,,,
Iron Man,2008,04/27/2021,4.0,8.0,,Yes
Iron Man 2,2010,,,,,
Iron Man 3,2013,,,,,
Irresistible,2020,07/27/2023,3.0,6.0,,
Isle of Dogs,2018,11/04/2025,4.5,9.0,The first pro-gossip movie ever made?,Yes
It's Alive,1974,08/07/2025,1.5,3.0,There’s gotta be a good 70s horror I’ve never heard of right?,
It's Such a Beautiful Day,2012,06/20/2023,4.0,8.0,,Yes
It's What's Inside,2024,10/21/2025,3.5,7.0,Convinced this would be fun if it wasn’t with these psychopaths,
It's a Wonderful Life,1946,,,,,
Jack Frost,1979,,,,,
Jack and Jill,2011,,,,,
Jackie Brown,1997,06/20/2023,3.0,6.0,,
Jay Kelly,2025,01/13/2026,4.0,8.0,"Surprise of 2025 for me, was not expecting to love this going in, but was very surprised how invested I was in these characters. Especially Sandler, written so well and performed Oscar nominations worthy👀",Yes
Jimmy Neutron: Boy Genius,2001,,,,,
Jingle All the Way,1996,12/17/2024,4.0,8.0,,Yes
John Carter,2012,,,,,
